Gene,Effect,HRE
ZPLD1,NO,YES
STXBP6,NO,YES
FGFR3,NO,YES
SLC6A12,NO,YES
ZAK,NO,YES
CAMK2D,NO,YES
TTYH3,NO,YES
NCALD,NO,YES
MYO5A,NO,YES
DNAJB5,NO,YES
OGT,NO,YES
GPR116,NO,YES
FOXC1,NO,YES
KCTD9,NO,YES
CPA4,NO,YES
DNAJC18,NO,YES
NISCH,NO,YES
RUNX3,NO,YES
PALLD,NO,YES
PTPN23,NO,YES
PTPRZ1,NO,YES
CAMTA2,NO,YES
GATA6,NO,YES
GFPT1,NO,YES
LRRC58,NO,YES
POU3F2,NO,YES
RNF150,NO,YES
FRY,NO,YES
GLS,NO,YES
DIXDC1,NO,YES
YWHAG,NO,YES
ARL6IP5,NO,YES
KLF2,NO,YES
ME1,NO,YES
ANKHD1,NO,YES
SH3GL3,NO,YES
RBBP6,NO,YES
EPAS1,NO,YES
RAPGEF1,NO,YES
FRMPD4,NO,YES
COPG,NO,YES
TJAP1,NO,YES
LAMB4,NO,YES
EEFSEC,NO,YES
DBI,NO,YES
SNX14,NO,YES
BSN,NO,YES
PXK,NO,YES
DOCK9,NO,YES
WNT9A,NO,YES
CLSTN3,NO,YES
KIRREL3,NO,YES
PCDH15,NO,YES
LSAMP,NO,YES
SURF4,NO,YES
IRF6,NO,YES
KIF13A,NO,YES
AHCYL1,NO,YES
PPP2R2A,NO,YES
PCSK5,NO,YES
FAM5B,NO,YES
WDR22,NO,YES
FLT3,NO,YES
FNDC3B,NO,YES
PAPSS2,NO,YES
CHD5,NO,YES
CDC14A,NO,YES
E2F7,NO,YES
EEF1A1,NO,YES
RPS6KA3,NO,YES
JUB,NO,YES
KIF5C,NO,YES
DULLARD,NO,YES
SLC25A23,NO,YES
TMEM108,NO,YES
UQCRH,NO,YES
TTBK1,NO,YES
GABRA3,NO,YES
COL13A1,NO,YES
QSOX2,NO,YES
OSGIN1,NO,YES
ZBTB1,NO,YES
FKBP9,NO,YES
SOCS5,NO,YES
RUFY2,NO,YES
MPV17,NO,YES
PJA2,NO,YES
DSTN,NO,YES
SEMA6A,NO,YES
RBMS3,NO,YES
BAI3,NO,YES
ZXDB,NO,YES
FAM126B,NO,YES
SOAT1,NO,YES
HECTD1,NO,YES
MORC4,NO,YES
GRIA4,NO,YES
IDH3G,NO,YES
ZFAND5,NO,YES
BBX,NO,YES
MTHFD1L,NO,YES
LUC7L2,NO,YES
FGFR1,NO,YES
XPO1,NO,YES
TRIOBP,NO,YES
SP8,NO,YES
TXNL1,NO,YES
ERRFI1,NO,YES
LRP2,NO,YES
RIOK2,NO,YES
ACBD3,NO,YES
SCN8A,NO,YES
SBF2,NO,YES
CACNG3,NO,YES
HS3ST6,NO,YES
F2RL1,NO,YES
SSR4,NO,YES
ARID3B,NO,YES
FSCN1,NO,YES
ID4,NO,YES
ACCN2,NO,YES
AHSA2,NO,YES
ACADSB,NO,YES
GHR,NO,YES
MAP4K5,NO,YES
GLP1R,NO,YES
GFPT2,NO,YES
NPIP,NO,YES
MET,NO,YES
SLC44A1,NO,YES
CARD11,NO,YES
STX8,NO,YES
ZBTB41,NO,YES
PFN2,NO,YES
PPL,NO,YES
EPB49,NO,YES
DPP4,NO,YES
PRDX4,NO,YES
TCF21,NO,YES
CACNG7,NO,YES
SEC31A,NO,YES
PHEX,NO,YES
DLK1,NO,YES
LHX6,NO,YES
PCBP1,NO,YES
HPSE2,NO,YES
SDK1,NO,YES
TMEM56,NO,YES
CELSR3,NO,YES
SIX3,NO,YES
STYK1,NO,YES
PLCD1,NO,YES
NAV1,NO,YES
UCHL3,NO,YES
SORL1,NO,YES
USP25,NO,YES
GABARAP,NO,YES
TMEM59L,NO,YES
YES1,NO,YES
GGN,NO,YES
MMP2,NO,YES
AFF2,NO,YES
NFATC1,NO,YES
SNTA1,NO,YES
CABC1,NO,YES
ZBTB5,NO,YES
NR0B2,NO,YES
HECA,NO,YES
EPB41L3,NO,YES
NEK6,NO,YES
PAH,NO,YES
CGNL1,NO,YES
PTPN14,NO,YES
MAD2L2,NO,YES
CXADR,NO,YES
RPS26,NO,YES
RNF11,NO,YES
RAB30,NO,YES
THUMPD3,NO,YES
DUOX2,NO,YES
TAL1,NO,YES
KBTBD8,NO,YES
PKHD1,NO,YES
KIAA0831,NO,YES
CREBBP,NO,YES
MAP2,NO,YES
KCTD11,NO,YES
TRIO,NO,YES
ASXL1,NO,YES
PTPN5,NO,YES
SBK1,NO,YES
POU3F3,NO,YES
NT5C3,NO,YES
EPC2,NO,YES
ARF6,NO,YES
SETD5,NO,YES
FOXB1,NO,YES
NCAM1,NO,YES
EIF2A,NO,YES
TDRD3,NO,YES
SLC25A1,NO,YES
MAPK11,NO,YES
TASP1,NO,YES
PLXNC1,NO,YES
RIMS2,NO,YES
TMEM47,NO,YES
ATP2B1,NO,YES
LRRC3B,NO,YES
PLCL2,NO,YES
NRIP3,NO,YES
EIF2S2,NO,YES
CRB1,NO,YES
LRFN1,NO,YES
KIF21B,NO,YES
CHMP2A,NO,YES
IRS1,NO,YES
MOSPD2,NO,YES
MMP13,NO,YES
NR2E1,NO,YES
WDTC1,NO,YES
KIAA0746,NO,YES
GPRC5A,NO,YES
DLGAP3,NO,YES
RPL14,NO,YES
KCNK4,NO,YES
SESN2,NO,YES
ARHGEF6,NO,YES
RXRA,NO,YES
DPF2,NO,YES
PAN3,NO,YES
FGF8,NO,YES
GRAMD3,NO,YES
CABP1,NO,YES
FAM53C,NO,YES
MARCKS,NO,YES
SCFD1,NO,YES
SUFU,NO,YES
ACVRL1,NO,YES
TTLL11,NO,YES
CRTC2,NO,YES
NR4A2,NO,YES
QKI,NO,YES
HDAC8,NO,YES
FGF13,NO,YES
NMNAT2,NO,YES
MAN1A1,NO,YES
CYR61,NO,YES
PARP6,NO,YES
SSR3,NO,YES
KIAA1958,NO,YES
ALDH3B1,NO,YES
CNGB3,NO,YES
SLC25A21,NO,YES
PLA2G3,NO,YES
ALG9,NO,YES
CDS1,NO,YES
ACVR2B,NO,YES
IMPDH1,NO,YES
RBM16,NO,YES
HR,NO,YES
ARF5,NO,YES
CHRM3,NO,YES
LSP1,NO,YES
CASD1,NO,YES
ICK,NO,YES
SLC39A1,NO,YES
MTSS1,NO,YES
CHCHD7,NO,YES
PPARA,NO,YES
NPHP4,NO,YES
WNT2B,NO,YES
PPCS,NO,YES
PDSS2,NO,YES
SAP130,NO,YES
SCN1B,NO,YES
IER5,NO,YES
HCN2,NO,YES
DOPEY1,NO,YES
KCNN1,NO,YES
MFSD2,NO,YES
EXTL1,NO,YES
USP19,NO,YES
KIAA1324,NO,YES
SSFA2,NO,YES
TMEM117,NO,YES
DDX50,NO,YES
SEMA5A,NO,YES
PRDX2,NO,YES
TBC1D23,NO,YES
SEC14L2,NO,YES
RIMS3,NO,YES
PYGM,NO,YES
AKAP8,NO,YES
RHOV,NO,YES
TBC1D10A,NO,YES
RPH3AL,NO,YES
KIAA0319L,NO,YES
LOC196993,NO,YES
IQSEC1,NO,YES
TNRC4,NO,YES
SH3KBP1,NO,YES
ZNF148,NO,YES
U2AF1L4,NO,YES
GTF2E2,NO,YES
ZSWIM5,NO,YES
CNTNAP4,NO,YES
COL7A1,NO,YES
DNMT3A,NO,YES
USPL1,NO,YES
TMED9,NO,YES
PCOLCE,NO,YES
SORCS1,NO,YES
HEYL,NO,YES
ZNF408,NO,YES
PPP1R2,NO,YES
PTEN,NO,YES
TMED10,NO,YES
RASA2,NO,YES
SLC16A2,NO,YES
TCF7L1,NO,YES
CRIM1,NO,YES
RPS19,NO,YES
NFKB2,NO,YES
ARMET,NO,YES
CES2,NO,YES
GFI1,NO,YES
ZNF574,NO,YES
INPP4B,NO,YES
DNTTIP1,NO,YES
TGFA,NO,YES
GPC4,NO,YES
CA8,NO,YES
CBLN3,NO,YES
B3GALT1,NO,YES
SERPINB5,NO,YES
KRT75,NO,YES
POU4F3,NO,YES
ARHGEF4,NO,YES
FBLN2,NO,YES
DCP2,NO,YES
PVRL4,NO,YES
CNFN,NO,YES
PODN,NO,YES
ARL6,NO,YES
CDC42,NO,YES
NRBF2,NO,YES
GDAP2,NO,YES
FAM96B,NO,YES
IL10,NO,YES
DPYSL3,NO,YES
FNBP1L,NO,YES
IGSF8,NO,YES
FAM62A,NO,YES
KIAA1432,NO,YES
IPMK,NO,YES
OAZ1,NO,YES
GABRA2,NO,YES
GPR161,NO,YES
GAS2L3,NO,YES
FGF18,NO,YES
FOXA2,NO,YES
PTPRB,NO,YES
RPS5,NO,YES
CHPF,NO,YES
PTPN12,NO,YES
GABRB3,NO,YES
COLEC11,NO,YES
CHCHD3,NO,YES
HES5,NO,YES
SPOCK2,NO,YES
GEMIN7,NO,YES
GOLGB1,NO,YES
ARHGAP21,NO,YES
ZNF384,NO,YES
RHOB,NO,YES
KCNK13,NO,YES
IRX2,NO,YES
ADK,NO,YES
ZC3H7B,NO,YES
SEZ6L,NO,YES
ARL4A,NO,YES
GAB1,NO,YES
EPB41L2,NO,YES
FBXO45,NO,YES
SLC37A4,NO,YES
HRK,NO,YES
CCNL2,NO,YES
AEBP2,NO,YES
IRX1,NO,YES
FBLN5,NO,YES
JARID2,NO,YES
RND3,NO,YES
ZSCAN2,NO,YES
FGF4,NO,YES
FA2H,NO,YES
SHF,NO,YES
RGS1,NO,YES
DYM,NO,YES
FAM46C,NO,YES
ANKRD10,NO,YES
LIPG,NO,YES
PPP1CB,NO,YES
GOLGA4,NO,YES
NOVA2,NO,YES
NTF3,NO,YES
SNX8,NO,YES
CRISPLD2,NO,YES
LRCH4,NO,YES
SULT4A1,NO,YES
SLC6A15,NO,YES
STAC,NO,YES
SQLE,NO,YES
HMG20A,NO,YES
GSK3B,NO,YES
NLGN3,NO,YES
MAP7,NO,YES
ARHGAP25,NO,YES
USP37,NO,YES
NUDT21,NO,YES
CSNK2A2,NO,YES
MOBKL2C,NO,YES
ELF1,NO,YES
SPRY2,NO,YES
LOXL1,NO,YES
LRRC32,NO,YES
SGCD,NO,YES
HCN4,NO,YES
MGST3,NO,YES
KLHL3,NO,YES
MBNL2,NO,YES
FAM73B,NO,YES
POFUT2,NO,YES
UPF2,NO,YES
TACR1,NO,YES
CREB3L1,NO,YES
USP3,NO,YES
FBXO34,NO,YES
TBX3,NO,YES
CPXM2,NO,YES
PIK3CA,NO,YES
KCNK12,NO,YES
PODXL,NO,YES
PAX9,NO,YES
PPP1CC,NO,YES
RTN2,NO,YES
FRYL,NO,YES
ACOXL,NO,YES
ABCB7,NO,YES
GOLPH3,NO,YES
SNX27,NO,YES
SCMH1,NO,YES
TNS1,NO,YES
ITPKA,NO,YES
CLU,NO,YES
ZNF382,NO,YES
HAGH,NO,YES
COL11A1,NO,YES
GALNT3,NO,YES
CDH2,NO,YES
DTL,NO,YES
EML2,NO,YES
TRA2A,NO,YES
KCNE1L,NO,YES
CTDSP1,NO,YES
NPY,NO,YES
DNAL4,NO,YES
SH3RF1,NO,YES
NDRG2,NO,YES
DST,NO,YES
NID1,NO,YES
ZFP106,NO,YES
WWTR1,NO,YES
FMNL2,NO,YES
TP73,NO,YES
PIK3AP1,NO,YES
PHOX2B,NO,YES
LRIG2,NO,YES
DDX59,NO,YES
SEC24D,NO,YES
LUM,NO,YES
HOOK2,NO,YES
EDEM1,NO,YES
EPRS,NO,YES
PAP2D,NO,YES
PHLDA1,NO,YES
IQCH,NO,YES
CD47,NO,YES
KIAA1305,NO,YES
YIPF6,NO,YES
KIFAP3,NO,YES
THAP1,NO,YES
WHSC1L1,NO,YES
CACNA1A,NO,YES
FYN,NO,YES
COL4A6,NO,YES
WDR13,NO,YES
CACNA1I,NO,YES
CDH10,NO,YES
IMPDH2,NO,YES
SYT9,NO,YES
RBM5,NO,YES
FBXW9,NO,YES
GNB1,NO,YES
SMAD1,NO,YES
ACBD6,NO,YES
NFXL1,NO,YES
RING1,NO,YES
TM9SF4,NO,YES
CHEK2,NO,YES
NFKBIA,NO,YES
BTC,NO,YES
CYP7A1,NO,YES
PTK7,NO,YES
KIAA2022,NO,YES
FKBP14,NO,YES
CNNM4,NO,YES
NEURL,NO,YES
STARD13,NO,YES
APOC1,NO,YES
RAP1A,NO,YES
SFRP2,NO,YES
WDR25,NO,YES
ZRANB3,NO,YES
IRF2,NO,YES
RNF10,NO,YES
FAT3,NO,YES
FADS3,NO,YES
EYA1,NO,YES
FILIP1,NO,YES
PEX3,NO,YES
OSBP,NO,YES
TSC22D2,NO,YES
MVK,NO,YES
DUSP16,NO,YES
RAP2A,NO,YES
RASGEF1A,NO,YES
CNBP,NO,YES
LY6H,NO,YES
DEPDC6,NO,YES
PLCB3,NO,YES
KBTBD2,NO,YES
BTF3,NO,YES
EDA,NO,YES
SCOC,NO,YES
MYO10,NO,YES
MYH1,NO,YES
OR2K2,NO,YES
XKR6,NO,YES
TP53INP2,NO,YES
TMOD3,NO,YES
ONECUT2,NO,YES
TRPM6,NO,YES
TRPC4,NO,YES
ZNF275,NO,YES
RALA,NO,YES
HIPK3,NO,YES
C8A,NO,YES
RWDD2A,NO,YES
TRIM23,NO,YES
MYL2,NO,YES
FOXJ2,NO,YES
VAV3,NO,YES
RPS24,NO,YES
ATG9A,NO,YES
ESCO1,NO,YES
IL7,NO,YES
ALDH1L2,NO,YES
UHRF2,NO,YES
HTR4,NO,YES
FAU,NO,YES
CHIC2,NO,YES
STK40,NO,YES
ACAN,NO,YES
TSHZ2,NO,YES
PHF16,NO,YES
HIST1H3B,NO,YES
TCEA3,NO,YES
CALU,NO,YES
UCN3,NO,YES
TMEM145,NO,YES
LRRFIP1,NO,YES
DNAJC3,NO,YES
KIAA0922,NO,YES
MID2,NO,YES
OPHN1,NO,YES
EDIL3,NO,YES
TOB2,NO,YES
REPS2,NO,YES
KCNS3,NO,YES
VWCE,NO,YES
SEMA4C,NO,YES
FAIM2,NO,YES
ANTXR1,NO,YES
SIL1,NO,YES
TNNT2,NO,YES
AKAP8L,NO,YES
KIFC3,NO,YES
VPS13B,NO,YES
MAP3K7,NO,YES
CLIC1,NO,YES
HCN1,NO,YES
COG3,NO,YES
NUAK1,NO,YES
YSK4,NO,YES
SYT11,NO,YES
LRRC33,NO,YES
SNAPC3,NO,YES
HOXA10,NO,YES
ASCC3,NO,YES
LAMP2,NO,YES
RPL28,NO,YES
DDR2,NO,YES
PMP22,NO,YES
CHM,NO,YES
MGAT1,NO,YES
TAPT1,NO,YES
STMN4,NO,YES
GPR50,NO,YES
DDAH2,NO,YES
SNX9,NO,YES
HS3ST2,NO,YES
ANXA2,NO,YES
DCLK2,NO,YES
NLGN2,NO,YES
PAQR6,NO,YES
MYRIP,NO,YES
NEK1,NO,YES
TANC1,NO,YES
CMAS,NO,YES
KLHDC1,NO,YES
U2AF1,NO,YES
SRP54,NO,YES
SRPK2,NO,YES
HIP1R,NO,YES
EMX1,NO,YES
TIGD6,NO,YES
MOSPD3,NO,YES
CD6,NO,YES
PKIG,NO,YES
SESN1,NO,YES
RNF13,NO,YES
GAD1,NO,YES
GALNT1,NO,YES
LRP12,NO,YES
LEPREL1,NO,YES
ELP4,NO,YES
PPTC7,NO,YES
UNC84B,NO,YES
RNF38,NO,YES
APP,NO,YES
TBC1D2,NO,YES
RCOR3,NO,YES
CCL20,NO,YES
ZRANB1,NO,YES
GLT25D1,NO,YES
ARHGAP5,NO,YES
THBS3,NO,YES
STRA6,NO,YES
AFF1,NO,YES
DAZL,NO,YES
PTN,NO,YES
FAM128A,NO,YES
PLP2,NO,YES
SPATA18,NO,YES
H1F0,NO,YES
ZNF513,NO,YES
PCNXL2,NO,YES
LIN28B,NO,YES
FOXA3,NO,YES
MYO3B,NO,YES
YY1AP1,NO,YES
HNF4A,NO,YES
PLA2G2F,NO,YES
PDGFRL,NO,YES
TMEM125,NO,YES
CD68,NO,YES
PGM3,NO,YES
ADAMTS1,NO,YES
SYNPO,NO,YES
SFRS16,NO,YES
CALB1,NO,YES
ITCH,NO,YES
SLC11A1,NO,YES
PPP1R12A,NO,YES
DYNC1I2,NO,YES
UBE2R2,NO,YES
MAST4,NO,YES
LTBP4,NO,YES
SPATS2,NO,YES
ZNF449,NO,YES
GRAP2,NO,YES
INHA,NO,YES
POU4F1,NO,YES
KCNMB4,NO,YES
DUSP15,NO,YES
MYCL1,NO,YES
MDM2,NO,YES
EPHA3,NO,YES
MYF6,NO,YES
RTBDN,NO,YES
REEP2,NO,YES
RPL10A,NO,YES
SLC44A5,NO,YES
MYPN,NO,YES
MED12,NO,YES
EEF1D,NO,YES
WBP5,NO,YES
FLJ37078,NO,YES
CNNM2,NO,YES
UBE2H,NO,YES
PSPC1,NO,YES
KY,NO,YES
PCDH11Y,NO,YES
RTN1,NO,YES
CLDND1,NO,YES
ATP7B,NO,YES
TOX2,NO,YES
ARL1,NO,YES
RPL36AL,NO,YES
NACA,NO,YES
CLDN14,NO,YES
CPA2,NO,YES
GPC2,NO,YES
CLK2,NO,YES
GPR108,NO,YES
LEMD2,NO,YES
FKBP7,NO,YES
CHST11,NO,YES
BCMO1,NO,YES
RPUSD1,NO,YES
COL16A1,NO,YES
PCDH1,NO,YES
FAM84A,NO,YES
TLX3,NO,YES
HTR1B,NO,YES
CRMP1,NO,YES
NDFIP1,NO,YES
FBN1,NO,YES
MAPK8IP2,NO,YES
OBSL1,NO,YES
EXOC4,NO,YES
MRRF,NO,YES
VANGL2,NO,YES
SPIN1,NO,YES
RNF152,NO,YES
CNN1,NO,YES
LBH,NO,YES
CPNE2,NO,YES
TMCC3,NO,YES
TFE3,NO,YES
TTC9C,NO,YES
CNIH2,NO,YES
IL19,NO,YES
TSPAN13,NO,YES
HAGHL,NO,YES
KIAA1614,NO,YES
CTNND1,NO,YES
TMSB10,NO,YES
LPXN,NO,YES
KCMF1,NO,YES
NTN1,NO,YES
CSNK1E,NO,YES
SHROOM4,NO,YES
MGAT4C,NO,YES
N4BP3,NO,YES
SV2A,NO,YES
GUCY2C,NO,YES
ZNF687,NO,YES
BCAR3,NO,YES
ZNF365,NO,YES
DAD1,NO,YES
COL19A1,NO,YES
HES2,NO,YES
LEPRE1,NO,YES
ZCCHC11,NO,YES
NRGN,NO,YES
MOG,NO,YES
EGFL6,NO,YES
FGF1,NO,YES
VPS41,NO,YES
PELP1,NO,YES
EHF,NO,YES
HPCAL1,NO,YES
ADAMTS14,NO,YES
SP3,NO,YES
C1QTNF5,NO,YES
NPR3,NO,YES
CD2AP,NO,YES
MPL,NO,YES
ITGB3BP,NO,YES
PDLIM4,NO,YES
KCNJ1,NO,YES
EDARADD,NO,YES
ADAMTS18,NO,YES
NKTR,NO,YES
RYR2,NO,YES
PCM1,NO,YES
MRPL17,NO,YES
SNRPD2,NO,YES
BNC1,NO,YES
NEK7,NO,YES
TFEC,NO,YES
FOXJ3,NO,YES
UBE2E1,NO,YES
CAPN6,NO,YES
SAMD4B,NO,YES
SHD,NO,YES
PDZD2,NO,YES
UST,NO,YES
PTCHD2,NO,YES
SDCBP2,NO,YES
SPATA16,NO,YES
LAPTM4A,NO,YES
GPR126,NO,YES
SDC3,NO,YES
SENP7,NO,YES
RFX3,NO,YES
PSD2,NO,YES
FZD1,NO,YES
ARID4B,NO,YES
GCKR,NO,YES
PPP1R16B,NO,YES
SNX10,NO,YES
UPP2,NO,YES
PLS3,NO,YES
LRRC15,NO,YES
R3HDM2,NO,YES
RFX2,NO,YES
ZDHHC18,NO,YES
FADS2,NO,YES
KHDRBS2,NO,YES
EDNRA,NO,YES
HERC1,NO,YES
IKZF4,NO,YES
PPARD,NO,YES
HTR3B,NO,YES
SLC1A7,NO,YES
PLEKHG3,NO,YES
HMG20B,NO,YES
UQCRC1,NO,YES
ACTA1,NO,YES
NUCB2,NO,YES
PPP2R5C,NO,YES
ILDR1,NO,YES
NTNG1,NO,YES
RBM33,NO,YES
PTK2,NO,YES
CTNNBIP1,NO,YES
CDH4,NO,YES
DHRS3,NO,YES
FBXO6,NO,YES
CAMK2N1,NO,YES
THAP5,NO,YES
IFT122,NO,YES
GSN,NO,YES
KIAA0174,NO,YES
GRIK5,NO,YES
PVRL3,NO,YES
PTHLH,NO,YES
SNX26,NO,YES
PELI3,NO,YES
PDGFC,NO,YES
FSTL4,NO,YES
MXD1,NO,YES
THSD7A,NO,YES
LMO1,NO,YES
DOCK4,NO,YES
BPGM,NO,YES
SERPINI1,NO,YES
SLC6A11,NO,YES
LRFN3,NO,YES
BTK,NO,YES
PIAS1,NO,YES
BET1L,NO,YES
EDNRB,NO,YES
KLF14,NO,YES
KSR2,NO,YES
OTUD7B,NO,YES
EFNA4,NO,YES
STAU1,NO,YES
GRK7,NO,YES
HMBOX1,NO,YES
PPFIBP1,NO,YES
GPR61,NO,YES
ESM1,NO,YES
MTA3,NO,YES
ATP9A,NO,YES
DES,NO,YES
PRKD1,NO,YES
ZNF318,NO,YES
CYLD,NO,YES
PARD3,NO,YES
SUV420H2,NO,YES
VCPIP1,NO,YES
FMN1,NO,YES
APLP2,NO,YES
RPL26,NO,YES
WDFY2,NO,YES
COPS2,NO,YES
NOTCH1,NO,YES
CNOT4,NO,YES
TRIM29,NO,YES
CNOT10,NO,YES
CNOT6L,NO,YES
NOTCH3,NO,YES
CNOT7,NO,YES
CNOT2,NO,YES
ZNF259,NO,YES
ZCWPW1,NO,YES
CTPS,NO,YES
PHF15,NO,YES
LMNB1,NO,YES
ZNF703,NO,YES
SRFBP1,NO,YES
BMPR1B,NO,YES
TMEM177,NO,YES
E2F8,NO,YES
RRS1,NO,YES
SLITRK4,NO,YES
CRISPLD1,NO,YES
GPS2,NO,YES
ZIC5,NO,YES
PIK3R3,NO,YES
DHX33,NO,YES
TFAP2D,NO,YES
MTHFD1,NO,YES
FAM83H,NO,YES
SLC6A1,NO,YES
KCNQ5,NO,YES
KLHL14,NO,YES
ZNRF2,NO,YES
ALX4,NO,YES
EXOSC2,NO,YES
DVL1,NO,YES
KIAA0664,NO,YES
PITX2,NO,YES
MAPK12,NO,YES
DLG2,NO,YES
SLC26A9,NO,YES
ARL2,NO,YES
BMPER,NO,YES
BAG3,NO,YES
HDAC2,NO,YES
TAF4B,NO,YES
YAP1,NO,YES
ARHGEF11,NO,YES
FBXO33,NO,YES
GEFT,NO,YES
MICAL2,NO,YES
EIF2C2,NO,YES
UBE2Q2,NO,YES
OLFM1,NO,YES
KIAA0427,NO,YES
TIAL1,NO,YES
PRIMA1,NO,YES
HEPACAM,NO,YES
AMIGO1,NO,YES
CAB39,NO,YES
TF,NO,YES
FHOD3,NO,YES
CACNA2D2,NO,YES
HIVEP3,NO,YES
ACTN2,NO,YES
LYAR,NO,YES
LPHN1,NO,YES
DPYSL5,NO,YES
ZBTB37,NO,YES
DDX25,NO,YES
SMG6,NO,YES
KCNK10,NO,YES
FAM113A,NO,YES
FLT1,NO,YES
PUS1,NO,YES
COL8A1,NO,YES
EBF3,NO,YES
RFX1,NO,YES
RUFY3,NO,YES
EXOSC5,NO,YES
WWP2,NO,YES
TM9SF1,NO,YES
NLGN1,NO,YES
ST6GALNAC3,NO,YES
LAMP1,NO,YES
PAK3,NO,YES
INSM2,NO,YES
KIAA1529,NO,YES
ARMC9,NO,YES
LHX5,NO,YES
RXRB,NO,YES
CBX6,NO,YES
LRP8,NO,YES
FGD5,NO,YES
BTBD11,NO,YES
MEGF11,NO,YES
DLX1,NO,YES
SRM,NO,YES
GMFB,NO,YES
YAF2,NO,YES
DKK2,NO,YES
USP2,NO,YES
CYCS,NO,YES
SOCS2,NO,YES
ZIC1,NO,YES
SLC35B2,NO,YES
DMD,NO,YES
AZIN1,NO,YES
UTP20,NO,YES
SLC23A3,NO,YES
DMRTA2,NO,YES
ADAMTS19,NO,YES
SLC36A1,NO,YES
CPEB4,NO,YES
VPS26A,NO,YES
SLC6A5,NO,YES
NPAS3,NO,YES
GRM5,NO,YES
SORCS3,NO,YES
NRP2,NO,YES
TNRC6B,NO,YES
PAX5,NO,YES
DACH1,NO,YES
NR6A1,NO,YES
DAG1,NO,YES
ADCK4,NO,YES
SLC29A1,NO,YES
PA2G4,NO,YES
PPFIA1,NO,YES
EGLN2,NO,YES
KIAA1853,NO,YES
ANKRD44,NO,YES
UTP11L,NO,YES
CPSF4,NO,YES
XPNPEP2,NO,YES
EPHB3,NO,YES
CHRM1,NO,YES
GLIS1,NO,YES
TMTC1,NO,YES
TXLNA,NO,YES
CAMK4,NO,YES
ZNF771,NO,YES
NAGPA,NO,YES
PHF17,NO,YES
IVNS1ABP,NO,YES
NUMBL,NO,YES
EBF1,NO,YES
KCNC1,NO,YES
CEBPA,NO,YES
WIZ,NO,YES
AKAP6,NO,YES
MAML3,NO,YES
CYHR1,NO,YES
ARHGAP20,NO,YES
KIAA1033,NO,YES
ENC1,NO,YES
SYT7,NO,YES
NDUFA7,NO,YES
ELOVL6,NO,YES
NDP,NO,YES
PEAR1,NO,YES
PTPRJ,NO,YES
ATP6V0C,NO,YES
ODZ2,NO,YES
HOXA3,NO,YES
PRPF3,NO,YES
ELAVL4,NO,YES
DRAP1,NO,YES
GBX2,NO,YES
MTMR1,NO,YES
ARID5B,NO,YES
NTN4,NO,YES
WDR42A,NO,YES
KLHL32,NO,YES
MAML2,NO,YES
NDUFS1,NO,YES
RIMS1,NO,YES
FCHSD2,NO,YES
HOXA6,NO,YES
SDC1,NO,YES
FAM78A,NO,YES
GNG8,NO,YES
BNC2,NO,YES
RSPO2,NO,YES
GAP43,NO,YES
ZBTB20,NO,YES
WNT6,NO,YES
ELF5,NO,YES
TMEM63B,NO,YES
BCL11A,NO,YES
FOXRED2,NO,YES
MAPK6,NO,YES
PIP5K1C,NO,YES
RAB39,NO,YES
MMS19,NO,YES
TMEM131,NO,YES
SLC38A2,NO,YES
U2AF2,NO,YES
ATG3,NO,YES
GFRA1,NO,YES
RQCD1,NO,YES
KCNC4,NO,YES
RNF44,NO,YES
GLRA1,NO,YES
PTGES3,NO,YES
LIN28,NO,YES
MCOLN1,NO,YES
LAMA5,NO,YES
CLCN5,NO,YES
SORBS1,NO,YES
SLC35A5,NO,YES
ERLIN1,NO,YES
STRBP,NO,YES
GRIN1,NO,YES
DSCR3,NO,YES
TMEM126B,NO,YES
REEP1,NO,YES
KLF15,NO,YES
USP6NL,NO,YES
AMPD2,NO,YES
TSSK3,NO,YES
STMN1,NO,YES
PPP1R3A,NO,YES
USP31,NO,YES
LTBR,NO,YES
ACVR2A,NO,YES
GSK3A,NO,YES
EPHA7,NO,YES
ZCCHC2,NO,YES
NRIP1,NO,YES
NTRK3,NO,YES
MC3R,NO,YES
LHX4,NO,YES
KCNS2,NO,YES
GRIK3,NO,YES
WDR5,NO,YES
FLI1,NO,YES
LFNG,NO,YES
LAP3,NO,YES
PPAT,NO,YES
SORBS3,NO,YES
GDF5,NO,YES
PEPD,NO,YES
TEX10,NO,YES
LMAN1L,NO,YES
MRPL14,NO,YES
CYP19A1,NO,YES
SEC11C,NO,YES
ZNF618,NO,YES
ATF7IP,NO,YES
CASP8AP2,NO,YES
IPO13,NO,YES
GREM2,NO,YES
PAX6,NO,YES
ASAM,NO,YES
SMPD3,NO,YES
GRIN2A,NO,YES
ZDHHC5,NO,YES
CACNG2,NO,YES
CIRH1A,NO,YES
FBXO36,NO,YES
SOX11,NO,YES
CPT1A,NO,YES
GRID1,NO,YES
DLC1,NO,YES
ASCL1,NO,YES
USP7,NO,YES
RMND1,NO,YES
CTNND2,NO,YES
GALNT14,NO,YES
SSRP1,NO,YES
SLC39A8,NO,YES
HECW2,NO,YES
HBEGF,NO,YES
TSHZ1,NO,YES
CDK6,NO,YES
CRY1,NO,YES
CCDC88C,NO,YES
HECW1,NO,YES
E2F3,NO,YES
LARGE,NO,YES
NBN,NO,YES
SCUBE1,NO,YES
