name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	name2
NM_001270410	chr1	-	226418849	226497449	226420201	226485422	15	LIN9
NM_001270409	chr1	-	226418849	226497204	226420201	226496888	14	LIN9
NM_173083	chr1	-	226418849	226497204	226420201	226496888	15	LIN9
NM_002744	chr1	+	1981908	2116834	1982069	2116448	18	PRKCZ
NM_012405	chr1	-	6281252	6296044	6285139	6295971	5	ICMT
NM_001242874	chr1	+	2005424	2116834	2005692	2116448	15	PRKCZ
NM_022114	chr1	+	2985741	3355185	2985823	3350375	17	PRDM16
NM_015215	chr1	+	6845383	7829766	6845590	7826551	23	CAMTA1
NM_199454	chr1	+	2985741	3355185	2985823	3350375	17	PRDM16
NM_017891	chr1	-	1017197	1051736	1018272	1026923	10	C1orf159
NM_001033582	chr1	+	2036154	2116834	2075777	2116448	15	PRKCZ
NM_001033581	chr1	+	2005085	2116834	2075777	2116448	15	PRKCZ
NM_001099850	chr1	-	13328195	13698405	13328832	13698358	3	LOC391003
NM_001039361	chr1	+	13629924	13635299	13632347	13635279	4	PRAMEF10
NM_001291381	chr1	+	13629931	13635299	13632347	13635279	4	LOC645382
NM_017449	chr1	+	23037330	23241823	23037475	23240063	16	EPHB2
NR_046507	chr1	-	20969149	20978686	20978686	20978686	3	PINK1-AS
NM_032409	chr1	+	20959947	20978004	20960041	20977184	8	PINK1
NM_032236	chr1	-	22004791	22109688	22005909	22109450	27	USP48
NM_004442	chr1	+	23037330	23241823	23037475	23240063	16	EPHB2
NM_001020658	chr1	-	31404352	31538564	31406057	31532413	22	PUM1
NM_004437	chr1	+	29213602	29446558	29320000	29442309	19	EPB41
NM_001271878	chr1	+	32479294	32509482	32479596	32508225	8	KHDRBS1
NM_006559	chr1	+	32479294	32509482	32479596	32508225	9	KHDRBS1
NM_001166007	chr1	+	29213602	29446558	29320000	29442309	18	EPB41
NM_001166006	chr1	+	29241087	29391733	29313949	29391691	15	EPB41
NM_001166005	chr1	+	29213602	29446558	29313949	29442309	21	EPB41
NM_001990	chr1	-	28296854	28415148	28300976	28384537	18	EYA3
NM_014676	chr1	-	31404352	31538564	31406057	31532413	22	PUM1
NM_203343	chr1	+	29213602	29446558	29313949	29442309	17	EPB41
NM_203342	chr1	+	29213602	29446558	29320000	29442309	21	EPB41
NM_001282560	chr1	-	28303783	28415148	28303792	28384537	17	EYA3
NM_006600	chr1	+	27248212	27273362	27248339	27272672	9	NUDC
NM_001145454	chr1	-	26210676	26232993	26212213	26231167	5	STMN1
NR_073498	chr1	+	32479294	32509482	32509482	32509482	9	KHDRBS1
NR_073499	chr1	+	32479294	32526460	32526460	32526460	11	KHDRBS1
NM_001282562	chr1	-	28296854	28415148	28300976	28365414	17	EYA3
NM_001282561	chr1	-	28296854	28415148	28300976	28384537	17	EYA3
NM_052896	chr1	-	33979598	34631443	33985117	34631414	70	CSMD2
NM_005066	chr1	-	35649200	35658743	35650056	35658650	10	SFPQ
NM_012090	chr1	+	39549838	39952810	39549890	39951466	93	MACF1
NM_005119	chr1	+	36690016	36770957	36748164	36769618	12	THRAP3
NM_001281956	chr1	-	33979598	34630875	33985117	34630698	71	CSMD2
NM_001194986	chr1	-	48226199	48462562	48231573	48462461	7	TRABD2B
NM_021639	chr1	-	46092975	46152302	46093927	46124759	13	GPBP1L1
NM_130440	chr1	+	43996546	44089343	44010746	44087674	33	PTPRF
NM_002840	chr1	+	43996546	44089343	44010746	44087674	34	PTPRF
NM_018150	chr1	+	44870959	45117396	44877769	45116447	15	RNF220
NM_021080	chr1	-	57463578	58716211	57476367	57756702	17	DAB1
NM_002867	chr1	-	52373627	52456436	52385598	52442789	5	RAB3B
NM_001193617	chr1	+	53392900	53517289	53416470	53516376	15	SCP2
NM_001193600	chr1	+	53392900	53517289	53393068	53516376	15	SCP2
NM_015306	chr1	-	55532031	55681039	55534717	55680786	68	USP24
NM_001193599	chr1	+	53392900	53517289	53393068	53516376	15	SCP2
NM_153035	chr1	+	54519273	54565416	54520095	54562146	5	TCEANC2
NM_007051	chr1	-	50906934	51425936	50907111	51425483	19	FAF1
NM_002979	chr1	+	53392900	53517289	53393068	53516376	16	SCP2
NM_001145511	chr1	+	61542945	61928460	61543297	61920992	11	NFIA
NM_001017416	chr1	+	62901974	62917475	62905538	62916652	9	USP1
NR_045147	chr1	-	63906440	63988944	63988944	63988944	10	ITGB3BP
NM_020925	chr1	+	64936475	65158741	64936580	65157244	27	CACHD1
NM_005595	chr1	+	61547979	61928460	61548463	61921051	10	NFIA
NM_001198689	chr1	+	65991371	66101111	66031248	66098852	19	LEPR
NM_001198688	chr1	+	65991371	66091917	66031248	66091853	19	LEPR
NM_001198687	chr1	+	65991371	66096095	66031248	66096088	19	LEPR
NM_001293274	chr1	+	64971596	65158741	65099825	65157244	26	CACHD1
NM_018291	chr1	+	59762624	60228402	59787221	60228256	16	FGGY
NM_003368	chr1	+	62902382	62917475	62905538	62916652	9	USP1
NM_002303	chr1	+	65886334	66103176	66031248	66102698	20	LEPR
NM_001206739	chr1	-	63906440	63988944	63912477	63988804	10	ITGB3BP
NM_001134673	chr1	+	61547979	61928460	61548463	61920992	11	NFIA
NM_014288	chr1	-	63906440	63988944	63912477	63988804	9	ITGB3BP
NM_001017415	chr1	+	62901974	62917475	62905538	62916652	9	USP1
NM_001113411	chr1	+	59762624	60228402	59787221	60228256	17	FGGY
NM_001145512	chr1	+	61547533	61928460	61547615	61920992	12	NFIA
NR_103473	chr1	+	59762683	60165066	60165066	60165066	17	FGGY
NM_001003679	chr1	+	65886334	66101111	66031248	66098852	20	LEPR
NM_001003680	chr1	+	65886334	66096095	66031248	66096088	20	LEPR
NM_020794	chr1	+	70225857	70589171	70225887	70587570	25	LRRC7
NM_173808	chr1	-	71868624	72748277	71873128	72748177	7	NEGR1
NM_001160011	chr1	+	76540388	77042892	76540551	77042540	4	ST6GALNAC3
NM_005482	chr1	-	77554666	77685132	77558058	77685087	11	PIGK
NM_152996	chr1	+	76540388	77096669	76540551	77094491	5	ST6GALNAC3
NM_012128	chr1	+	87012758	87046432	87012802	87046028	14	CLCA4
NM_001134445	chr1	-	85784167	86044046	85787134	85824524	7	DDAH1
NM_032270	chr1	+	90098643	90185094	90152032	90180541	3	LRRC8C
NR_024602	chr1	+	87012758	87046432	87046432	87046432	13	CLCA4
NR_110682	chr1	-	89003195	89150887	89150887	89150887	4	PKN2-AS1
NM_002061	chr1	-	94352589	94375012	94354545	94374719	7	GCLM
NR_033998	chr1	+	95393583	95428826	95428826	95428826	4	LOC729970
NM_001006605	chr1	-	93307716	93427079	93308939	93426986	5	FAM69A
NM_001252269	chr1	-	93307716	93427079	93308939	93426986	4	FAM69A
NM_001252270	chr1	-	93307716	93427079	93308939	93426986	4	FAM69A
NM_001252271	chr1	-	93307716	93342707	93308939	93341966	5	FAM69A
NM_001252273	chr1	-	93298285	93427079	93298576	93426986	5	FAM69A
NR_125991	chr1	+	96457623	96488436	96488436	96488436	5	LOC102723661
NM_014917	chr1	+	107682744	108024475	107691215	108023462	6	NTNG1
NM_001113228	chr1	+	107682628	108024475	107691215	108023462	8	NTNG1
NM_001113226	chr1	+	107682628	108024475	107691215	108023462	8	NTNG1
NM_175744	chr1	-	113243748	113250025	113244161	113246421	6	RHOC
NM_001042678	chr1	-	113243748	113250025	113244161	113246421	5	RHOC
NM_006608	chr1	-	114239823	114301777	114240326	114301325	18	PHTF1
NM_006496	chr1	+	110091185	110138454	110091342	110134855	9	GNAI3
NM_001010935	chr1	+	112162404	112259317	112233982	112251857	9	RAP1A
NM_002884	chr1	+	112162404	112259317	112233982	112251857	8	RAP1A
NM_001204269	chr1	-	111136201	111174096	111136514	111147404	5	KCNA2
NM_001042679	chr1	-	113243748	113249678	113244161	113246421	6	RHOC
NM_001291896	chr1	+	112162768	112259317	112233982	112251857	8	RAP1A
NM_001200001	chr1	-	120477735	120612317	120478041	120612020	22	NOTCH2
NM_006784	chr1	+	118472371	118503049	118475942	118502070	27	WDR3
NM_024408	chr1	-	120454175	120612317	120457928	120612020	34	NOTCH2
NM_001039703	chr1	+	145293370	146466121	145293405	146466121	86	NBPF10
NM_001201325	chr1	+	145727665	145764206	145747043	145763623	9	PDZK1
NM_001302371	chr1	+	145293370	146466121	145293405	146466121	90	NBPF10
NM_001277444	chr1	+	144614958	145370304	144615130	145368684	25	NBPF9
NR_104217	chr1	-	148250249	149109725	149109725	149109725	18	NBPF25P
NM_001037501	chr1	-	147574322	148346929	147575945	148346756	20	NBPF8
NM_001278267	chr1	+	144146810	146467744	144158383	146466121	131	NBPF20
NR_102404	chr1	-	147574322	148346929	148346929	148346929	19	NBPF8
NM_001037501	chr1	+	144614958	144830407	144615130	144828784	20	NBPF8
NM_002614	chr1	+	145727665	145764206	145747043	145763623	10	PDZK1
NM_001201326	chr1	+	145727665	145764206	145747043	145763623	7	PDZK1
NR_102405	chr1	+	144614958	144830407	144830407	144830407	18	NBPF8
NR_102405	chr1	-	147574322	148346929	148346929	148346929	18	NBPF8
NR_102404	chr1	+	144614958	144830407	144830407	144830407	19	NBPF8
NM_020205	chr1	-	149912228	149982686	149915755	149949445	12	OTUD7B
NM_001037675	chr1	+	144614958	144830407	144615130	144828784	21	NBPF9
NR_002188	chr1	-	155183615	155197325	155197325	155197325	13	GBAP1
NM_001278189	chr1	-	154127779	154155725	154130193	154155595	9	TPM3
NM_152263	chr1	-	154134288	154164611	154140412	154164494	10	TPM3
NM_001043352	chr1	-	154127779	154155725	154131444	154155595	8	TPM3
NM_001278191	chr1	-	154127779	154150697	154130114	154145673	8	TPM3
NM_001043351	chr1	-	154127779	154155725	154130114	154155595	8	TPM3
NM_001043353	chr1	-	154127779	154155725	154131444	154155595	8	TPM3
NM_015327	chr1	-	156219014	156252620	156220377	156252471	22	SMG5
NM_001278190	chr1	-	154127779	154155725	154130114	154155595	7	TPM3
NM_001278188	chr1	-	154127779	154155725	154130114	154155531	7	TPM3
NM_153649	chr1	-	154127779	154155725	154130114	154155595	8	TPM3
NR_103461	chr1	-	154127779	154155725	154155725	154155725	8	TPM3
NM_021642	chr1	+	161475204	161489360	161475257	161487938	7	FCGR2A
NM_001204961	chr1	+	164528596	164821060	164529059	164790820	8	PBX1
NR_036683	chr1	+	165667986	165679199	165679199	165679199	4	LOC440700
NM_002585	chr1	+	164528596	164821060	164529059	164815913	9	PBX1
NM_001136219	chr1	+	161475204	161489360	161475257	161487938	7	FCGR2A
NM_001204963	chr1	+	164528596	164821060	164529059	164818639	9	PBX1
NM_025063	chr1	+	170904635	170967946	170914697	170967541	15	MROH9
NM_001136127	chr1	+	171810617	172381857	171810796	172376981	20	DNM3
NM_015569	chr1	+	171810617	172381857	171810796	172376981	21	DNM3
NM_022093	chr1	+	175036993	175117202	175046554	175116207	19	TNN
NM_001278252	chr1	+	171810617	172102532	171810796	172102037	15	DNM3
NM_001163629	chr1	+	170904611	171033906	170914697	171033481	22	MROH9
NM_005092	chr1	-	173010359	173020103	173010506	173020102	3	TNFSF18
NM_170692	chr1	+	178062863	178448648	178063627	178442374	18	RASAL2
NM_003101	chr1	+	179262848	179327814	179271819	179322776	16	SOAT1
NM_173156	chr1	+	183441505	183523328	183441755	183521066	22	SMG7
NR_045530	chr1	+	179262848	179327814	179327814	179327814	14	SOAT1
NM_021165	chr1	+	177140632	177251558	177199012	177250664	8	BRINP2
NM_001174061	chr1	+	183441505	183523328	183485073	183521066	22	SMG7
NM_201568	chr1	+	183441505	183523328	183441755	183521066	22	SMG7
NM_001252512	chr1	+	179262848	179327814	179304658	179322776	15	SOAT1
NM_201569	chr1	+	183441505	183523328	183441755	183522336	23	SMG7
NM_001252511	chr1	+	179262848	179327814	179271934	179322776	15	SOAT1
NM_032360	chr1	-	180257351	180472022	180257497	180471401	8	ACBD6
NM_001137669	chr1	+	182419255	182529732	182419300	182525192	22	RGSL1
NM_000963	chr1	-	186640943	186649559	186643484	186649422	10	PTGS2
NM_194314	chr1	-	197122813	197169672	197128488	197169603	10	ZBTB41
NM_133494	chr1	+	198126107	198291548	198201710	198288652	10	NEK7
NM_015326	chr1	+	206516199	206637783	206516199	206634765	20	SRGAP2
NM_002481	chr1	+	202317829	202557697	202317979	202549688	24	PPP1R12B
NM_001271872	chr1	+	206516199	206581301	206516199	206579957	7	SRGAP2C
NM_001271870	chr1	+	206516199	206580070	206516199	206579957	7	SRGAP2B
NM_001167858	chr1	+	202317829	202407370	202317979	202406968	9	PPP1R12B
NM_001167857	chr1	+	202317829	202407370	202317979	202407242	10	PPP1R12B
NR_120535	chr1	+	206557366	206581301	206581301	206581301	6	SRGAP2D
NM_001300952	chr1	+	206516199	206629507	206516199	206627502	18	SRGAP2
NM_001170637	chr1	+	206516199	206637783	206516199	206634765	20	SRGAP2
NM_001243510	chr1	-	216676587	217311097	216680280	216850820	9	ESRRG
NM_001122834	chr1	+	210501595	210849638	210522319	210847721	12	HHAT
NM_018664	chr1	-	212859758	212873327	212860132	212873104	3	BATF3
NM_018194	chr1	+	210502249	210849638	210522319	210847721	12	HHAT
NM_001134285	chr1	-	216676587	217311097	216680280	216850820	9	ESRRG
NM_001170588	chr1	+	210502249	210849638	210522319	210847721	11	HHAT
NM_001170580	chr1	+	210502639	210849638	210522319	210847721	12	HHAT
NM_001243506	chr1	-	216676587	217262987	216680280	216824348	7	ESRRG
NM_001243511	chr1	-	216676587	217311097	216680280	216850820	8	ESRRG
NM_001243512	chr1	-	216676587	217113015	216680280	216850820	9	ESRRG
NM_001243505	chr1	-	216676587	217263196	216680280	216737669	7	ESRRG
NM_206595	chr1	-	216676587	217262987	216680280	216850820	8	ESRRG
NM_001243509	chr1	-	216676587	217250312	216680280	216850820	9	ESRRG
NM_206594	chr1	-	216676587	217262987	216680280	216850820	9	ESRRG
NM_001243513	chr1	-	216676587	217113015	216680280	216850820	8	ESRRG
NM_001243507	chr1	-	216676587	217250312	216680280	216850820	8	ESRRG
NM_206933	chr1	-	215796235	216596738	215799122	216595678	72	USH2A
NM_001170564	chr1	+	210501595	210849638	210522319	210847721	10	HHAT
NM_001170587	chr1	+	210502249	210849638	210502354	210847721	11	HHAT
NM_001373	chr1	+	225117355	225586996	225140404	225586971	84	DNAH14
NR_031644	chr1	+	218610974	219281452	219281452	219281452	7	MIR548F3
NR_002753	chr1	+	220046618	220292777	220292777	220292777	3	RNU5F-1
NM_004446	chr1	-	220141941	220220000	220142147	220219730	32	EPRS
NR_034037	chr1	-	231727037	231747836	231747836	231747836	2	LINC00582
NM_145214	chr1	-	228581376	228594517	228582405	228594262	6	TRIM11
NM_018230	chr1	-	229577043	229644088	229577650	229643996	26	NUP133
NR_028398	chr1	+	231664398	231954990	231954990	231954990	11	TSNAX-DISC1
NR_028399	chr1	+	231664398	231838307	231838307	231838307	9	TSNAX-DISC1
NR_028397	chr1	+	231664398	231954990	231954990	231954990	13	TSNAX-DISC1
NR_028396	chr1	+	231664398	231954990	231954990	231954990	13	TSNAX-DISC1
NR_028395	chr1	+	231664398	231954990	231954990	231954990	13	TSNAX-DISC1
NR_028394	chr1	+	231664398	231954990	231954990	231954990	14	TSNAX-DISC1
NR_028393	chr1	+	231664398	232177019	232177019	232177019	16	TSNAX-DISC1
NR_028400	chr1	+	231664398	231886365	231886365	231886365	8	TSNAX-DISC1
NR_027247	chr1	+	238025474	238091619	238091619	238091619	12	LOC100130331
NM_000254	chr1	+	236958580	237067281	236959003	237060944	33	MTR
NM_000081	chr1	-	235824330	236030227	235826239	235993717	53	LYST
NM_002924	chr1	-	240938813	241520530	240939462	241519076	18	RGS7
NM_001282775	chr1	-	240938813	241520530	240963946	241519076	18	RGS7
NM_001282773	chr1	-	240938813	241520530	240963946	241519076	16	RGS7
NM_001282778	chr1	-	240938813	241520530	240939462	241519076	17	RGS7
NM_001291940	chr1	+	236958580	237067281	236998879	237060944	32	MTR
NM_001291939	chr1	+	236958580	237067281	236959003	237060944	32	MTR
NM_001301365	chr1	-	235824330	236047008	235826239	235993717	53	LYST
NM_022743	chr1	-	245912641	246580714	245912864	246518383	12	SMYD3
NM_032752	chr1	-	247463621	247495045	247463820	247492880	9	ZNF496
NM_001167740	chr1	-	245912641	246670644	245912864	246670519	12	SMYD3
NM_018012	chr1	+	245318286	245866428	245318726	245865908	15	KIF26B
NM_001001918	chr1	+	248512076	248513015	248512076	248513015	1	OR14C36
NR_047521	chr1	+	762970	794826	794826	794826	5	LINC01128
NR_047519	chr1	+	762970	794826	794826	794826	6	LINC01128
NR_047525	chr1	+	763177	794826	794826	794826	5	LINC01128
NR_047524	chr1	+	762970	794826	794826	794826	4	LINC01128
NR_047523	chr1	+	762970	794826	794826	794826	4	LINC01128
NM_033489	chr1	-	1570602	1655859	1571125	1654035	21	CDK11B
NM_023018	chr1	-	1682670	1709909	1684342	1696845	12	NADK
NM_033490	chr1	-	1570602	1655859	1571125	1577849	19	CDK11B
NM_017900	chr1	-	1309109	1310818	1309180	1310136	4	AURKAIP1
NM_033486	chr1	-	1570602	1655859	1571125	1654257	20	CDK11B
NM_033487	chr1	-	1570602	1655859	1571125	1577348	18	CDK11B
NM_001198994	chr1	-	1682670	1711508	1684342	1696845	14	NADK
NM_001198993	chr1	-	1682670	1710297	1684342	1696845	12	NADK
NM_001787	chr1	-	1570602	1655859	1571125	1654257	20	CDK11B
NM_001291345	chr1	-	1570602	1655859	1571125	1654257	20	CDK11B
NM_001014980	chr1	-	1177825	1182102	1177927	1182070	8	FAM132A
NM_001297605	chr1	+	2487803	2497061	2488103	2494307	7	TNFRSF14
NM_001242672	chr1	-	2572806	2706230	2572806	2706156	7	TTC34
NM_003036	chr1	+	2160133	2241652	2160205	2238204	7	SKI
NM_003820	chr1	+	2487803	2497061	2488103	2494712	8	TNFRSF14
NR_104222	chr1	+	3773830	3801993	3801993	3801993	8	DFFB
NM_152492	chr1	+	3668964	3688209	3669045	3688087	12	CCDC27
NM_001409	chr1	-	3404505	3528059	3407091	3527832	37	MEGF6
NM_004402	chr1	+	3773830	3801993	3774167	3800305	7	DFFB
NM_001282669	chr1	+	3773830	3801993	3774167	3800305	7	DFFB
NM_018836	chr1	+	4715104	4843851	4715485	4834559	6	AJAP1
NM_001042478	chr1	+	4715104	4837854	4715485	4834559	6	AJAP1
NM_015102	chr1	-	5922867	6052533	5923324	6046349	30	NPHP4
NM_001199860	chr1	+	6094347	6161253	6100628	6158634	16	KCNAB2
NR_111987	chr1	-	5922867	6052533	6052533	6052533	33	NPHP4
NM_001291593	chr1	-	5922867	6052533	5923324	5987783	27	NPHP4
NM_001199863	chr1	+	6106173	6161253	6142254	6158634	14	KCNAB2
NM_001199862	chr1	+	6105980	6161253	6111596	6158634	16	KCNAB2
NM_001199861	chr1	+	6052357	6161253	6100628	6158634	16	KCNAB2
NM_001291594	chr1	-	5922867	6052533	5923324	5987783	26	NPHP4
NM_003636	chr1	+	6086072	6161253	6100628	6158634	16	KCNAB2
NM_172130	chr1	+	6086072	6161253	6100628	6158634	15	KCNAB2
NR_038934	chr1	+	6845383	6948261	6948261	6948261	4	CAMTA1
NM_001042663	chr1	-	6526151	6557484	6527622	6557383	22	PLEKHG5
NM_007274	chr1	-	6324331	6453826	6324656	6453459	9	ACOT7
NM_198681	chr1	-	6526151	6580121	6527622	6579571	22	PLEKHG5
NM_001265592	chr1	-	6526151	6557156	6527622	6557091	22	PLEKHG5
NM_001242701	chr1	+	6845383	6948261	6845590	6947785	4	CAMTA1
NM_181864	chr1	-	6324331	6445883	6324656	6445726	9	ACOT7
NM_001561	chr1	-	7975930	8003225	7980894	8000054	9	TNFRSF9
NM_016831	chr1	+	7844488	7905240	7844937	7902815	22	PER3
NM_001289862	chr1	+	7844488	7905240	7844937	7902815	22	PER3
NM_001289861	chr1	+	7844488	7905240	7844937	7902815	23	PER3
NM_001289863	chr1	+	7844488	7905240	7844937	7902815	23	PER3
NM_001289864	chr1	+	7844488	7905240	7863191	7902815	22	PER3
NM_001042681	chr1	-	8412463	8877699	8415146	8716356	23	RERE
NM_024980	chr1	-	9164475	9189229	9164477	9189086	4	GPR157
NM_004285	chr1	+	9294862	9331394	9304993	9324928	5	H6PD
NM_012102	chr1	-	8412463	8877699	8415146	8716356	24	RERE
NM_001282587	chr1	+	9299902	9331394	9300054	9324928	5	H6PD
NM_001009566	chr1	-	9789078	9884584	9790565	9883791	19	CLSTN1
NM_020248	chr1	-	9908333	9970316	9910775	9932122	6	CTNNBIP1
NM_006048	chr1	+	10093040	10241296	10093728	10240014	27	UBE4B
NM_183416	chr1	+	10270763	10368655	10292386	10364705	21	KIF1B
NM_015074	chr1	+	10270763	10441661	10292386	10436645	47	KIF1B
NM_014944	chr1	-	9789078	9884584	9790565	9883791	18	CLSTN1
NM_001105562	chr1	+	10093040	10241296	10093728	10240014	28	UBE4B
NM_001302883	chr1	-	9789078	9884584	9790565	9883791	18	CLSTN1
NM_001012329	chr1	-	9908333	9970316	9910775	9932122	5	CTNNBIP1
NM_004958	chr1	-	11166587	11322608	11167541	11319466	58	MTOR
NM_017766	chr1	-	10707262	10856733	10707853	10753946	16	CASZ1
NM_001001998	chr1	-	11126669	11159967	11126774	11159888	25	EXOSC10
NM_002685	chr1	-	11126669	11159967	11126774	11159888	24	EXOSC10
NM_001079843	chr1	-	10696665	10856733	10698998	10753946	21	CASZ1
NM_001170754	chr1	-	11006529	11042094	11007719	11042094	13	C1orf127
NM_004565	chr1	+	10535002	10690815	10535023	10690044	9	PEX14
NM_020350	chr1	+	11796141	11810828	11796265	11810249	5	AGTRAP
NM_015378	chr1	+	12290095	12572098	12294323	12569078	70	VPS13D
NM_018156	chr1	+	12290095	12572098	12294323	12569078	69	VPS13D
NM_014874	chr1	+	12040237	12073572	12049225	12071622	19	MFN2
NM_001040195	chr1	+	11796141	11810828	11796265	11810161	4	AGTRAP
NM_001243	chr1	+	12123433	12204264	12123655	12202588	15	TNFRSF8
NM_001127660	chr1	+	12040237	12073572	12049225	12071622	18	MFN2
NM_001040197	chr1	+	11796141	11810828	11796265	11808650	6	AGTRAP
NM_001040196	chr1	+	11796141	11810828	11796265	11810161	6	AGTRAP
NM_001040194	chr1	+	11796141	11810828	11796265	11810249	5	AGTRAP
NM_001281430	chr1	+	12123433	12204264	12164500	12202588	14	TNFRSF8
NM_001013630	chr1	+	12704565	12727097	12704565	12726746	4	AADACL4
NM_201628	chr1	+	14925212	15444544	14925493	15441131	15	KAZN
NR_027136	chr1	-	15438310	15478960	15478960	15478960	5	TMEM51-AS1
NM_015209	chr1	+	14925212	15394651	14925493	15392293	8	KAZN
NM_052929	chr1	+	15573767	15724622	15578280	15723909	31	FHAD1
NM_001018000	chr1	+	15250624	15394651	15250860	15392293	8	KAZN
NM_001018001	chr1	+	15256295	15394651	15287235	15392293	8	KAZN
NM_001017999	chr1	+	15272414	15394651	15287235	15392293	8	KAZN
NM_015291	chr1	+	15853307	15898228	15855600	15894672	15	DNAJC16
NM_015001	chr1	+	16174358	16266950	16174562	16265922	15	SPEN
NM_018994	chr1	-	16573334	16678986	16577164	16641913	10	FBXO42
NR_109898	chr1	+	15853307	15898228	15898228	15898228	15	DNAJC16
NM_001287811	chr1	+	15853307	15898228	15874836	15894672	14	DNAJC16
NM_017940	chr1	-	16888921	16940100	16890437	16918516	29	NBPF1
NM_002403	chr1	-	17300998	17307173	17301414	17304768	9	MFAP2
NM_007365	chr1	-	17393255	17445948	17395538	17445866	16	PADI2
NM_001135248	chr1	-	17300998	17307173	17301414	17304768	9	MFAP2
NM_013358	chr1	+	17531620	17572501	17531712	17570738	16	PADI1
NM_017459	chr1	-	17300998	17308081	17301414	17304768	9	MFAP2
NM_001135247	chr1	-	17300998	17308081	17301414	17304768	9	MFAP2
NR_026567	chr1	-	17017712	17046652	17046652	17046652	11	ESPNP
NM_032880	chr1	+	18434239	18704977	18434622	18704820	10	IGSF21
NM_018125	chr1	+	17866329	18024370	17907090	18023875	29	ARHGEF10L
NM_030812	chr1	+	18081807	18153558	18149503	18153014	3	ACTL8
NM_001011722	chr1	+	17907047	18024370	17907090	18023875	27	ARHGEF10L
NM_020765	chr1	-	19400999	19536746	19401325	19536742	106	UBR4
NM_013945	chr1	+	18957499	19062632	18958097	19062533	8	PAX7
NM_001136265	chr1	-	19230773	19282826	19235054	19282826	9	IFFO2
NM_001135254	chr1	+	18957499	19075360	18958097	19071423	9	PAX7
NM_001206540	chr1	-	19665266	19812135	19669255	19811932	10	CAPZB
NM_001206541	chr1	-	19665266	19812135	19666060	19775408	9	CAPZB
NM_004930	chr1	-	19665266	19812135	19666023	19811932	9	CAPZB
NM_002584	chr1	+	18957499	19062632	18958097	19062533	8	PAX7
NM_001282162	chr1	-	19665266	19811201	19666023	19810773	9	CAPZB
NR_033887	chr1	-	20686293	20755287	20755287	20755287	12	LINC01141
NM_181719	chr1	-	20008705	20126410	20009532	20107251	16	TMCO4
NM_001127501	chr1	+	21835857	21904905	21887222	21904141	11	ALPL
NM_001198803	chr1	-	21267737	21501251	21267868	21329235	15	EIF4G3
NM_001198802	chr1	-	21132784	21503381	21133811	21329235	35	EIF4G3
NM_016287	chr1	-	21069170	21113181	21071289	21106933	13	HP1BP3
NM_000478	chr1	+	21835857	21904905	21880574	21904141	12	ALPL
NM_001198801	chr1	-	21132784	21503381	21133811	21329235	35	EIF4G3
NM_001113348	chr1	-	21543739	21672034	21546447	21671871	19	ECE1
NM_001177520	chr1	+	21835857	21904905	21887172	21904141	10	ALPL
